id,batch,batch__name,employer_name,employer_logo_url,number,gross_total,job_title
4796,25,Dec 16-31 2021 Network Fees,Coursera (127),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/e6/81/e681a8cd1ed80f1df11e9a6717034148.png,127-67,907.2,Technical Program Manager
4795,25,Dec 16-31 2021 Network Fees,Domino Data Lab (317),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/ba/31/ba31b4a7f7ae6986b7c0fab2e7248d4c.png,317-114,64.0,Growth Sr/Software - Engineer Tech Lead
4794,25,Dec 16-31 2021 Network Fees,Hallsy (378),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/95/63/9563a219977e917b1e5cecc65a8c2a57.png,378-23,170.0,Code writing
4793,25,Dec 16-31 2021 Network Fees,BuzzCast (376),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/ea/75/ea7595ba1f477139e078550f3ff40b8a.png,376-8,320.0,Quality Assurance Engineer
4792,25,Dec 16-31 2021 Network Fees,Maya (35),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/c2/30/c230e3b81233b59a9e1fac86c6819db3.png,35-212,320.0,QA Engineer
4791,25,Dec 16-31 2021 Network Fees,"Porsche Digital, Inc. (80)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/a7/e5/a7e5ba51f2554f41b87ae42e135db16e.png,80-197,2688.0,Senior UX/UI Designer (Will Rogers - W2)
4790,25,Dec 16-31 2021 Network Fees,Colgate Palmolive (280),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/e2/84/e2842c3a5f05d2a0623544604097751c.png,280-43,70.0,Brand Design Manager
4789,25,Dec 16-31 2021 Network Fees,Colgate Palmolive (280),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/e2/84/e2842c3a5f05d2a0623544604097751c.png,280-42,210.0,Brand Design Manager
4788,25,Dec 16-31 2021 Network Fees,Colgate Palmolive (280),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/e2/84/e2842c3a5f05d2a0623544604097751c.png,280-41,100.0,Brand Design Manager
4787,25,Dec 16-31 2021 Network Fees,Nextdoor (173),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/69/fd/69fd805add7d1557b7696542f537ce86.png,173-91,384.0,Backend Developer
